Time_S,Voltage_V,Current_A
17160,3.6995370388031006,0.0
17161,3.6996161937713623,0.0
17162,3.699519634246826,0.0
17163,3.69968318939209,0.0
17164,3.699431896209717,0.0
17165,3.6995954513549805,0.0
17166,3.6995623111724854,0.0
17167,3.6994502544403076,0.0
17168,3.699598789215088,0.0
17169,3.6995980739593506,0.0
17170,3.6996631622314453,0.0
17171,3.6995022296905518,0.0
17172,3.699652671813965,0.0
17173,3.699784755706787,0.0
17174,3.6996030807495117,0.0
17175,3.69972562789917,0.0
17176,3.6996805667877197,0.0
17177,3.6996171474456787,0.0
17178,3.69968843460083,0.0
17179,3.6996631622314453,0.0
17180,3.6997334957122803,0.0
17181,3.699796199798584,0.0
17182,3.6997830867767334,0.0
17183,3.6997318267822266,0.0
17184,3.6996309757232666,0.0
17185,3.699657917022705,0.0
17186,3.699855327606201,0.0
17187,3.6997456550598145,0.0
17188,3.6997761726379395,0.0
17189,3.6997361183166504,0.0
17190,3.6996822357177734,0.0
17191,3.6997413635253906,0.0
17192,3.699934244155884,0.0
17193,3.6997525691986084,0.0
17194,3.699707508087158,0.0
17195,3.699777126312256,0.0
17196,3.6997787952423096,0.0
17197,3.699866533279419,0.0
17198,3.6998238563537598,0.0
17199,3.699822187423706,0.0
17200,3.6999456882476807,0.0
17201,3.6998708248138428,0.0
17202,3.700011730194092,0.0
17203,3.6998517513275146,0.0
17204,3.6998507976531982,0.0
17205,3.6998507976531982,0.0
17206,3.6998212337493896,0.0
17207,3.699917793273926,0.0
17208,3.699869155883789,0.0
17209,3.6998648643493652,0.0
17210,3.6998612880706787,0.0
17211,3.699998617172241,0.0
17212,3.6999361515045166,0.0
17213,3.6999194622039795,0.0
17214,3.70003604888916,0.0
17215,3.7000107765197754,0.0
17216,3.69989013671875,0.0
17217,3.6999213695526123,0.0
17218,3.7000274658203125,0.0
17219,3.699944019317627,0.0
17220,3.700063943862915,0.0
17221,3.6999752521514893,0.0
17222,3.70003080368042,0.0
17223,3.7000021934509277,0.0
17224,3.699982166290283,0.0
17225,3.700045585632324,0.0
17226,3.700106382369995,0.0
17227,3.700058698654175,0.0
17228,3.700040340423584,0.0
17229,3.6999752521514893,0.0
17230,3.700016975402832,0.0
17231,3.6999943256378174,0.0
17232,3.7002177238464355,0.0
17233,3.7001256942749023,0.0
17234,3.7001378536224365,0.0
17235,3.7001516819000244,0.0
17236,3.7001116275787354,0.0
17237,3.7001655101776123,0.0
17238,3.700091600418091,0.0
17239,3.700209140777588,0.0
17240,3.7000560760498047,0.0
